RedName,Width,Height,Format,Compression,TextureGroup
characters\models\common\woman_average\heads\h_24_wa__novigrad_citizen\h_24_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_24_wa__novigrad_citizen\h_24_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_25_wa__novigrad_citizen\h_25_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_25_wa__novigrad_citizen\h_25_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_25_wa__novigrad_citizen\h_25_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_27_wa__novigrad_citizen\h_27_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_27_wa__novigrad_citizen\h_27_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_27_wa__novigrad_citizen\h_27_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_33_wa__novigrad_citizen\h_33_wa__novigrad_citizen.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_d04.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_d03.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_36_wa__elf\h_36_wa__elf_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_39_wa__novigrad_citizen\h_39_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_39_wa__novigrad_citizen\h_39_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_40_wa__novigrad_citizen\h_40_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_44_wa__novigrad_citizen\h_44_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_46_wa__novigrad_citizen\h_46_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_46_wa__novigrad_citizen\h_46_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_46_wa__novigrad_citizen\h_46_wa__novigrad_citizen_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_46_wa__novigrad_citizen\h_46_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_47_wa__novigrad_citizen\h_47_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_47_wa__novigrad_citizen\h_47_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_47_wa__novigrad_citizen\h_47_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_50_wa__novigrad_citizen\h_50_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_51_wa__novigrad_citizen\h_51_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_51_wa__novigrad_citizen\h_51_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_51_wa__novigrad_citizen\h_51_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_52_wa__novigrad_citizen\h_52_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_52_wa__novigrad_citizen\h_52_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_52_wa__novigrad_citizen\h_52_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_53_wa__novigrad_citizen\h_53_wa__margaritta_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_53_wa__novigrad_citizen\h_53_wa__margaritta_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_53_wa__novigrad_citizen\h_53_wa__margaritta_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_55_wa__novigrad_citizen\h_55_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_55_wa__novigrad_citizen\h_55_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_55_wa__novigrad_citizen\h_55_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_56_wa__novigrad_citizen\h_56_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_56_wa__novigrad_citizen\h_56_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_56_wa__novigrad_citizen\h_56_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_11_wa__novigrad_citizen\h_11_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_11_wa__novigrad_citizen\h_11_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_11_wa__novigrad_citizen\h_11_wa__novigrad_citizen_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_11_wa__novigrad_citizen\h_11_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_26_wa__novigrad_citizen\h_26_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_26_wa__novigrad_citizen\h_26_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_26_wa__novigrad_citizen\h_26_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_28_wa__novigrad_citizen\h_28_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_28_wa__novigrad_citizen\h_28_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_29_wa__novigrad_citizen\h_29_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_35_wa__novigrad_citizen\h_35_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_35_wa__novigrad_citizen\h_35_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_35_wa__novigrad_citizen\h_35_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_37_wa__elf\h_37_wa__elf_scoiatael_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_37_wa__elf\h_37_wa__elf_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_37_wa__elf\h_37_wa__elf_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_37_wa__elf\h_37_wa__elf_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_38_wa__elf\h_38_wa__elf_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_38_wa__elf\h_38_wa__elf_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_38_wa__elf\h_38_wa__elf_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_38_wa__elf\h_38_wa__elf_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_40_wa__elf\h_40_wa__elf_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_40_wa__elf\h_40_wa__elf_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_40_wa__elf\h_40_wa__elf_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_40_wa__elf\h_40_wa__elf_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_41_wa__elf\h_41_wa__elf_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_41_wa__elf\h_41_wa__elf_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_41_wa__elf\h_41_wa__elf_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_41_wa__elf\h_41_wa__elf_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_54_wa__novigrad_citizen\h_54_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_54_wa__novigrad_citizen\h_54_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_54_wa__novigrad_citizen\h_54_wa__novigrad_citizen_d02.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_54_wa__novigrad_citizen\h_54_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_57_wa__novigrad_citizen\h_57_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_57_wa__novigrad_citizen\h_57_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_57_wa__novigrad_citizen\h_57_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_59_wa__novigrad_citizen\h_59_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_59_wa__novigrad_citizen\h_59_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_59_wa__novigrad_citizen\h_59_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_q111_wa__old_hag\h_q111_wa__old_hag_d01.xbm,2048,2048,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_45_wa__novigrad_citizen\h_45_wa__novigrad_citizen_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_45_wa__novigrad_citizen\h_45_wa__novigrad_citizen_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_45_wa__novigrad_citizen\h_45_wa__novigrad_citizen_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\woman_average\heads\h_43_wa__woman_fat\h_01_wa__woman_fat_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_43_wa__woman_fat\h_01_wa__woman_fat_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\woman_average\heads\h_43_wa__woman_fat\h_01_wa__woman_fat_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\body\model\child_average__a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\child_average\body\model\child_average__d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,CharacterDiffuse
characters\models\common\child_average\body\model\child_average__n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,CharacterNormal
characters\models\common\child_average\heads\h_01_cma__skellige_villager\h_01_cma__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_01_cma__skellige_villager\h_01_cma__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\heads\h_01_cma__skellige_villager\h_01_cma__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_02_cma__skellige_villager\h_02_cma__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_02_cma__skellige_villager\h_02_cma__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_02_cma__skellige_villager\h_02_cma__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\heads\h_03_cma__skellige_villager\h_03_cma__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_01_cwa__skellige_villager\h_01_cwa__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_01_cwa__skellige_villager\h_01_cwa__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_01_cwa__skellige_villager\h_01_cwa__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\heads\h_02_cwa__skellige_village\h_02_cwa__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_02_cwa__skellige_village\h_02_cwa__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_02_cwa__skellige_village\h_02_cwa__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\heads\h_03_cwa__skellige_villager\h_03_cwa__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_03_cwa__skellige_villager\h_03_cwa__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_03_cwa__skellige_villager\h_03_cwa__skellige_villager_n01.xbm,1024,1024,TRF_TrueColor,TCM_Normals,HeadNormal
characters\models\common\child_average\heads\h_04_cwa__skellige_villager\h_04_cwa__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_06_cma__skellige_villager\h_06_cma__skellige_villager_a01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
characters\models\common\child_average\heads\h_06_cma__skellige_villager\h_06_cma__skellige_villager_d01.xbm,1024,1024,TRF_TrueColor,TCM_DXTNoAlpha,HeadDiffuse
